Barack's features are,-0.252003,1.398,-0.112342,0.39722,-0.190335,0.936377,-0.379879,0.508066,-0.123915,0.113198,-0.288285,-0.146722,2.01905,-1.19706,1.11532,0.781703,0.463282,0.776044,-1.20863,-1.59951,-0.325111,1.6532,0.232085,0.462162,0.602801,-0.265409,-0.522082,1.42294,-0.346499,0.19388
Barack and Barack are spouse,0.01852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack is parent of Barack,0.020199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack is child of Barack,0.0179276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack and Michelle are spouse,0.965515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack is parent of Michelle,0.0216252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack is child of Michelle,0.0209149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack and Sasha are spouse,0.0165861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack is parent of Sasha,0.979929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack is child of Sasha,0.0179478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack and Malia are spouse,0.021467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack is parent of Malia,0.975019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack is child of Malia,0.0168914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack and Bill are spouse,0.048088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack is parent of Bill,0.905849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack is child of Bill,0.0229036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack and Hillary are spouse,0.0517685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack is parent of Hillary,0.620665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack is child of Hillary,0.016588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack and Chelsea are spouse,0.0418332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack is parent of Chelsea,0.962526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack is child of Chelsea,0.0452314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle's features are,1.86111,1.33539,0.660184,0.664734,0.748705,0.995276,-0.0588099,0.312331,-0.872193,-0.521329,0.100387,1.63019,-0.339767,-1.13705,0.217765,-0.0904333,-0.742886,0.909439,0.493458,0.410284,0.0123618,-2.02082,1.03437,-2.13007,-1.20584,-0.477221,0.473589,0.0844633,-0.0690859,0.0619401
Michelle and Barack are spouse,0.930137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle is parent of Barack,0.0214413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle is child of Barack,0.0226756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle and Michelle are spouse,0.0161358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle is parent of Michelle,0.0210805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle is child of Michelle,0.0198963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle and Sasha are spouse,0.0102862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle is parent of Sasha,0.978323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle is child of Sasha,0.00865278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle and Malia are spouse,0.013519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle is parent of Malia,0.971766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle is child of Malia,0.00849708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle and Bill are spouse,0.0578847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle is parent of Bill,0.918127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle is child of Bill,0.0275439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle and Hillary are spouse,0.0561541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle is parent of Hillary,0.73509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle is child of Hillary,0.0235407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle and Chelsea are spouse,0.00810477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle is parent of Chelsea,0.972668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle is child of Chelsea,0.00949657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha's features are,0.862689,0.551027,1.15182,-1.88013,0.630826,-1.07816,0.017929,-0.123457,-0.125805,-0.902633,-0.838442,1.77409,-0.508911,-0.301457,-1.62961,-0.114018,-0.763534,1.34034,0.691082,-0.865225,0.102407,0.614518,-1.27767,0.897421,-0.229314,0.475381,0.82261,-1.23405,1.31044,0.684592
Sasha and Barack are spouse,0.0160997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha is parent of Barack,0.0207717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha is child of Barack,0.977843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha and Michelle are spouse,0.0106777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha is parent of Michelle,0.0098941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha is child of Michelle,0.977646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha and Sasha are spouse,0.00977989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha is parent of Sasha,0.0175018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha is child of Sasha,0.0140629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha and Malia are spouse,0.0105931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha is parent of Malia,0.0219736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha is child of Malia,0.0196564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha and Bill are spouse,0.0352376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha is parent of Bill,0.0282612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha is child of Bill,0.0957462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha and Hillary are spouse,0.0173899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha is parent of Hillary,0.053769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha is child of Hillary,0.326631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha and Chelsea are spouse,0.00825639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha is parent of Chelsea,0.131691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha is child of Chelsea,0.0467776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia's features are,0.105775,0.185433,0.543007,0.853532,3.07476,-0.50295,-0.196703,0.126666,-0.817737,-0.110139,-0.964529,-0.796274,-0.619587,0.629917,0.200224,0.822179,-0.909558,0.131395,-0.491177,-0.0463379,0.510274,-0.437198,-0.169901,-0.64362,-0.812903,-0.120406,-0.946344,-0.504072,-0.0575106,-0.470649
Malia and Barack are spouse,0.0202307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia is parent of Barack,0.0182562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia is child of Barack,0.973571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia and Michelle are spouse,0.0137979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia is parent of Michelle,0.00948452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia is child of Michelle,0.971528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia and Sasha are spouse,0.0106651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia is parent of Sasha,0.0227345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia is child of Sasha,0.0158796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia and Malia are spouse,0.0104562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia is parent of Malia,0.028965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia is child of Malia,0.021918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia and Bill are spouse,0.0149011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia is parent of Bill,0.0362668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia is child of Bill,0.175032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia and Hillary are spouse,0.0468391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia is parent of Hillary,0.0611532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia is child of Hillary,0.520498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia and Chelsea are spouse,0.0086663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia is parent of Chelsea,0.175383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malia is child of Chelsea,0.0349272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill's features are,0.689859,0.424019,1.2872,1.55229,0.929447,0.817297,-0.762859,-1.35627,-0.334828,-0.0309921,-1.5608,-1.56595,-1.24431,-1.59739,1.36903,-0.020175,0.657478,-0.465106,0.779115,1.17156,0.434977,1.0106,-1.90641,0.725748,-0.627982,-0.164872,0.0542495,-2.25171,-0.420467,-0.0226861
Bill and Barack are spouse,0.0458968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill is parent of Barack,0.213436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill is child of Barack,0.171816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill and Michelle are spouse,0.0658847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill is parent of Michelle,0.0803924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill is child of Michelle,0.251369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill and Sasha are spouse,0.0486232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill is parent of Sasha,0.555701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill is child of Sasha,0.00804792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill and Malia are spouse,0.0156717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill is parent of Malia,0.782195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill is child of Malia,0.0089873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill and Bill are spouse,0.00926995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill is parent of Bill,0.701067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill is child of Bill,0.0133343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill and Hillary are spouse,0.971836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill is parent of Hillary,0.692487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
